"Refs","Value","Footprint","Qty","DNP"
"C1","100uF/35V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"C2","10uF/16V","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"C3","100nF","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","1",""
"C4","100nF","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","1",""
"C5","100nF","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","1",""
"J1","AC Input","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","1",""
"J2","Step Motor","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","1",""
"J3","Encoder","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1",""
"PS1","IRM-20-24","Converter_ACDC:Converter_ACDC_MeanWell_IRM-20-xx_THT","1",""
"Q1","BC547","Package_TO_SOT_THT:TO-92_Inline","1",""
"R1","FSR (external)","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"R2","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R3","FSR (external)","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"R4","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R5","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R6","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R7","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R8","20K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R9","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R10","20K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R11","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R12","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"S1","Optic LS-1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"S2","Optic LS-2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"S3","Hall-1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"S4","Hall-2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"SW1","SW1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"SW2","SW2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"U1","OKI-78SR-5","Converter_DCDC:Converter_DCDC_Murata_OKI-78SR_Vertical","1",""
"U2","UART Display","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","1",""
"U3","ESP32-DevKitC","AUTO:ESP32_SOCKET","1",""
"U4","LV8729 Module","AUTO:STEPSTICK_2x8","1",""
"U5","AM26LS32ACN","Package_DIP:DIP-16_W7.62mm","1",""
"U6","74HC4050N","Package_DIP:DIP-16_W7.62mm","1",""
