### Footprint positions - created on 2026-09-19T11:11:51 ###
### Printed by KiCad version 10.0.3
## Unit = mm, Angle = deg.
## Side : All
# Ref     Val            Package                                                             PosX       PosY       Rot  Side
C1        C1             CP_Radial_D8.0mm_P3.50mm                                         52.2500   -22.0000    0.0000  top
C2        C2             CP_Radial_D6.3mm_P2.50mm                                         63.7500   -11.0000    0.0000  top
C3        C3             C_Rect_L7.0mm_W2.5mm_P5.00mm                                     65.5000   -84.0000    0.0000  top
C4        C4             C_Rect_L7.0mm_W2.5mm_P5.00mm                                     65.5000   -92.0000    0.0000  top
C5        C5             C_Rect_L7.0mm_W2.5mm_P5.00mm                                     81.5000   -74.0000    0.0000  top
J1        AC_Input       TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal    20.9200   -41.0000    0.0000  top
J2        Motor          PinSocket_1x04_P2.54mm_Vertical                                 116.0000   -35.1900    0.0000  top
J3        Encoder        PinSocket_1x08_P2.54mm_Vertical                                 116.0000   -48.1100    0.0000  top
PS1       IRM-20-24      Converter_ACDC_MeanWell_IRM-20-xx_THT                             3.5000    -6.6000    0.0000  top
Q1        BC547          TO-92_Inline                                                     48.7300   -76.0000    0.0000  top
R1        R1             PinHeader_1x02_P2.54mm_Vertical                                  10.0000   -92.7300    0.0000  top
R2        R2             R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal                32.9200   -94.0000    0.0000  top
R3        R3             PinHeader_1x02_P2.54mm_Vertical                                  24.0000   -92.7300    0.0000  top
R4        R4             R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal                48.9200   -99.0000    0.0000  top
R5        R5             R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal                48.9200   -84.0000    0.0000  top
R6        R6             R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal                48.9200   -92.0000    0.0000  top
R7        R7             R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal                10.9200   -34.0000    0.0000  top
R8        R8             R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal                12.9200   -55.0000    0.0000  top
R9        R9             R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal                28.9200   -34.0000    0.0000  top
R10       R10            R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal                38.9200   -54.0000    0.0000  top
R11       R11            R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal                52.9200   -74.0000    0.0000  top
R12       R12            R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal                66.9200   -74.0000    0.0000  top
S1        S1             PinHeader_1x03_P2.54mm_Vertical                                  46.0000   -57.4600    0.0000  top
S2        S2             PinHeader_1x03_P2.54mm_Vertical                                  46.0000   -65.4600    0.0000  top
S3        S3             PinHeader_1x03_P2.54mm_Vertical                                  11.0000   -37.4600    0.0000  top
S4        S4             PinHeader_1x03_P2.54mm_Vertical                                  11.0000   -45.4600    0.0000  top
SW1       SW1            PinHeader_1x03_P2.54mm_Vertical                                  46.0000   -81.4600    0.0000  top
SW2       SW2            PinHeader_1x03_P2.54mm_Vertical                                  46.0000   -89.4600    0.0000  top
U1        OKI-78SR-5     Converter_DCDC_Murata_OKI-78SR_Vertical                          51.4600   -11.0000    0.0000  top
U2        UART_Display   PinSocket_1x04_P2.54mm_Vertical                                  99.0000    -8.1900    0.0000  top
U3        ESP32-DevKitC                                                                   77.0000   -46.0000    0.0000  top
U4        LV8729                                                                         103.0000   -46.0000    0.0000  top
U5        AM26LS32ACN    DIP-16_W7.62mm                                                   25.1900   -46.1100    0.0000  top
U6        74HC4050N      DIP-16_W7.62mm                                                   25.1900   -67.1100    0.0000  top
## End
