### Footprint positions - created on 2026-09-11T14:46:05 ###
### Printed by KiCad version 10.0.3
## Unit = mm, Angle = deg.
## Side : All
# Ref     Val            Package                                                             PosX       PosY       Rot  Side
C1        C1             CP_Radial_D6.3mm_P2.50mm                                         52.7500   -22.0000    0.0000  top
C2        C2             CP_Radial_D5.0mm_P2.50mm                                         63.7500   -11.0000    0.0000  top
C3        C3             C_0805_2012Metric                                                63.0000   -84.0000    0.0000  top
C4        C4             C_0805_2012Metric                                                63.0000   -92.0000    0.0000  top
C5        C5             C_0805_2012Metric                                                70.0000   -76.0000    0.0000  top
J1        AC_Input       TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal    20.9200   -41.0000    0.0000  top
J2        Motor          PinSocket_1x04_P2.54mm_Vertical                                 116.0000   -35.1900    0.0000  top
J3        Encoder        PinSocket_1x08_P2.54mm_Vertical                                 116.0000   -48.1100    0.0000  top
PS1       IRM-20-24      Converter_ACDC_MeanWell_IRM-20-xx_THT                             3.5000    -6.6000    0.0000  top
Q1        BC547          TO-92_Inline                                                     48.7300   -76.0000    0.0000  top
R1        R1             PinHeader_1x02_P2.54mm_Vertical                                  12.0000   -92.7300    0.0000  top
R2        R2             R_0805_2012Metric                                                28.0000   -94.0000    0.0000  top
R3        R3             PinHeader_1x02_P2.54mm_Vertical                                  20.0000   -92.7300    0.0000  top
R4        R4             R_0805_2012Metric                                                36.0000   -94.0000    0.0000  top
R5        R5             R_0805_2012Metric                                                56.0000   -84.0000    0.0000  top
R6        R6             R_0805_2012Metric                                                56.0000   -92.0000    0.0000  top
R7        R7             R_0805_2012Metric                                                19.0000   -36.0000    0.0000  top
R8        R8             R_0805_2012Metric                                                19.0000   -44.0000    0.0000  top
R9        R9             R_0805_2012Metric                                                27.0000   -36.0000    0.0000  top
R10       R10            R_0805_2012Metric                                                27.0000   -44.0000    0.0000  top
R11       R11            R_0805_2012Metric                                                58.0000   -76.0000    0.0000  top
R12       R12            R_0805_2012Metric                                                64.0000   -76.0000    0.0000  top
S1        S1             PinHeader_1x03_P2.54mm_Vertical                                  46.0000   -57.4600    0.0000  top
S2        S2             PinHeader_1x03_P2.54mm_Vertical                                  46.0000   -65.4600    0.0000  top
S3        S3             PinHeader_1x03_P2.54mm_Vertical                                  11.0000   -37.4600    0.0000  top
S4        S4             PinHeader_1x03_P2.54mm_Vertical                                  11.0000   -45.4600    0.0000  top
SW1       SW1            PinHeader_1x03_P2.54mm_Vertical                                  46.0000   -81.4600    0.0000  top
SW2       SW2            PinHeader_1x03_P2.54mm_Vertical                                  46.0000   -89.4600    0.0000  top
U1        OKI-78SR-5     Converter_DCDC_Murata_OKI-78SR_Vertical                          51.4600   -11.0000    0.0000  top
U2        UART_Display   PinSocket_1x04_P2.54mm_Vertical                                  99.0000    -8.1900    0.0000  top
U3        ESP32-DevKitC                                                                   77.0000   -46.0000    0.0000  top
U4        LV8729                                                                         103.0000   -46.0000    0.0000  top
U5        AM26LS32ACN    DIP-16_W7.62mm                                                   25.1900   -46.1100    0.0000  top
U6        74HC4050N      DIP-16_W7.62mm                                                   25.1900   -67.1100    0.0000  top
## End
